Nama,Market Cap,Rasio P/E,Pendapatan,Vol.Rata-Rata (3bln),EPS,Beta,Dividen,Imbal Hasil,Rekomendasi
Bank Central Asia,1.103.31T,23.54,93.13T,68670378,380.26,0.417,205,2.3%,
Bank Cimb Niaga,42.26T,7.36,16.06T,7485824,230.23,-,115.16,6.79%,
Bank Danamon,27.56T,8.85,15.04T,2461283,318.72,0.841,118.26,4.24%,
Bank Dinar Indonesia,2.11T,100.00,368.10B,3867427,1.25,0.154,-,-%,
Bank Ganesha Tbk PT,1.82T,22.69,293.48B,36203989,3.35,0.587,-,-%,
Bank Harda Internasional Tbk PT,29.01T,97.66,943.45B,1945448,13.67,1.51,-,-%,
Bank Ina Perdana,24.11T,108.09,617.78B,198081,36.36,-0.058,-,-%,
Bank JTrust Indonesia Tbk PT,2.3T,17.96,865.56B,5326635,8.24,-0.441,-,-%,
Bank Mandiri Persero,560.00T,10.61,116.23T,81238130,565.74,0.604,"5,293,368",4.41%,
Bank Maspion Indonesia,10.78T,84.75,465.10B,11341,14.75,0.724,-,-%,
Bank Mayapada,5.80T,2.04K,1.31T,1796684,0.24,-0.055,-,-%,
Bank Maybank Indonesia,19.82T,11.21,8.24T,3930094,23.19,0.905,"77,206",2.97%,
Bank Mega,61.05T,13.47,8.81T,23619,385.93,0.098,"241,618",4.58%,
Bank Mestika Dharma,7.73T,16.75,1.02T,23175,114.60,0.324,34.27,1.78%,
Bank Mnc Internasional,2.46T,36.87,682.45B,51247308,1.98,0.322,-,-%,
Bank Multiarta Sentosa PT,4.74T,15.36,803.89B,25498,211.62,0.191,-,-%,
Bank Nationalnobu,5.72T,31.38,768.86B,11477168,24.38,0.002,-,-%,
Bank Negar,3.86T,0.19,48.51T,31856971,26.565.00,0.93,"3,927,801",3.78%,
Bank Net Indonesia Syariah Tbk PT,15.32T,-60.36,124.94B,13381210,-20.05,0.116,-,-%,
Bank Ocbc Nisp,25.47T,6.81,9.92T,8625422,163.11,0.181,"579,974",5.25%,
Bank Of India Indonesia,2.43T,216.58,98.43B,1826,8.08,0.00,-,-%,
Bank Pan Indonesia,29.86T,9.28,9.85T,7072510,133.61,0.437,20,1.84%,
Bank Panin Syariah,2.25T,8.13,547.44B,18554505,7.13,0.487,-,-%,
Bank Pembangunan,12.15T,6.09,9.17T,2122670,189.50,0.844,104.55,9.09%,
Bank Pembangunan,2.59T,-14.37,272.09B,254685,-3.48,-,-,-%,
Bank Pembangunan Timur,9.38T,6.48,5.04T,5373630,96.41,-,53.09,8.49%,
Bank Permata,33.65T,16.90,8.41T,118735,55.02,0.99,15,1.61%,
Bank Qnb Indonesia,2.99T,-7.47,98.04B,2916686,-11.38,0.209,-,-%,
Bank Rakyat,7.27T,1.30K,783.75B,15371598,0.226,1.88,-,-%,
Bank Rakyat Persero,788.47T,14.15,140.59T,106855851,369.36,0.603,"2,882,214",5.57%,
Bank Sinarmas,17.15T,80.41,2.78T,102489,10.82,0.022,-,-%,
Bank Tabungan,21.27T,7.38,11.66T,59259,357.73,0.612,"768,484",2.88%,
Bank Tabungan Negara,17.54T,5.04,12.43T,18979957,247.85,1.31,"433,943",3.47%,
Bank Tabungan Pensiunan,14.44T,8.62,4.08T,13373352,217.56,-,92.5,4.93%,
Bank Victoria,1.55T,6.19,764.12B,9580186,15.84,-0.059,-,-%,
Bank Windu,3.11T,15.80,789.04B,8931954,5.19,0.791,-,-%,
Bank Woori Indonesia,5.31T,6.64,1.97T,201792,93.34,0.502,22.5,3.69%,
Bank Yudha Bhakti,3.71T,-6.79,657.57B,31610659,-45.37,0.114,-,-%,
Baramulti Suksessarana,10.73T,3.15,1.20B,1613754,0.083,-0.246,"12,719,271",31.17%,
Barito Pacific,115.55T,362.37,2.72B,94858118,0.00,0.749,1.59,0.13%,
Batavia Prosperindo Int,5.12T,8.60,689.47B,825,1.203.69,-,225,2.17%,
Batavia Prosperindo Trans,353.40B,7.64,398.57B,6762116,13.09,0.181,-,-%,
Batulicin Nusantara,605.52B,8.68,374.82B,1712833,18.54,-0.052,-,-%,
Bayan Resources,613.33T,20.94,4.74B,247152,0.056,-0.238,-,-%,
Bayu Buana,519.23B,7.18,2.35T,432737,204.69,-,50,3.39%,
Bekasi Asri Pemula,46.32B,-13.67,3.80B,3257405,-5.12,-,-,-%,
Bekasi Fajar,1.50T,46.29,509.72B,39128427,3.37,0.962,-,-%,
Bentoel Int,11.14T,11.40,7.69T,694900,26.84,0.319,-,-%,
Berdikari Pondasi,2.75T,30.69,533.02B,16595652,18.41,-,-,-%,
Berkah Beton Sadaya Tbk PT,2.25T,18.07,653.97B,84815,2.77,-0.048,3.67,0.12%,
Berkah Prima Perkasa,165.53B,9.64,142.24B,346108,42.29,0.165,33,8.29%,
Berlian Laju Tanker Tbk PT,1.3T,5.75,34.10M,386485,0.001,-0.077,-,-%,
Berlina,851.83B,-7.05,1.01T,12593,-123.32,-0.085,-,-%,
Bersama Zatta Jaya Tbk PT,424.8B,35.46,196.99B,54840,0.804,-,-,-%,
Betonjaya Manunggal,300.96B,13.45,152.21B,241907,31.07,0.894,-,-%,
BFI Finance,16.62T,9.08,4.46T,20798257,121.64,1.18,70,6.36%,
Bhakti Agung Propertindo,279.59B,-2.857.63,11.03B,1400,-0.017,-0.083,-,-%,
Bhakti Multi Artha,2.95T,2.941.56,171.87B,22596092,0.17,0.10,-,-%,
Bhuwanatala Indah,251.43B,-11.14,279.19B,108411,-4.49,0.224,-,-%,
Bima Sakti Pertiwi,171.88B,-91.03,54.92B,42110100,-0.615,-0.144,-,-%,
Binakarya Jaya Abadi Tbk PT,41.46B,-0.41,525.77B,161021,-169.32,0.58,-,-%,
Bintang Mitra,454.41B,2.13,4.52T,1002148,184.08,-0.319,-,-%,
Bintang Oto Global,4.75T,347.22,918.75B,123827284,3.60,-0.192,-,-%,
Bintang Samudera Mandiri Lines Tbk PT,325.64B,23.07,401.39B,41993089,9.45,0.997,1.62,0.92%,
Bisi International,4.74T,12.62,1.99T,322632,125.20,0.674,68,4.3%,
Black Diamond Resources Tbk PT,325B,8.19,740.51B,85913875,9.88,-,-,-%,
Bliss Properti Indonesia,419.44B,-,58.50B,0,-17.16,0.154,-,-%,
Blue Bird,5.20T,11.03,4.13T,4115130,188.50,0.966,72,3.41%,
Borneo Olah Sarana,70.00B,-1.27,386.44B,1014524,-39.32,0.522,-,-%,
Boston Furniture,31.42B,9.90,49.72B,395868,1.90,-0.77,-,-%,
Buana Finance,1.08T,9.74,379.45B,126711,67.28,-0.139,16,2.42%,
Buana Listya Tama,1.30T,-5.86,126.70M,74710832,-0.001,0.544,-,-%,
Budi Starch & Sweetener,1.21T,11.85,3.73T,1348389,22.78,0.292,8,2.99%,
Bukaka Teknik Utama,3.08T,5.09,5.12T,55065,228.94,-0.075,-,-%,
Bukalapak.com PT,21.85T,-3.27,4.11T,251403707,-67.91,1.34,-,-%,
Bukit Asam,31.70T,3.45,43.08T,21783248,799.71,-,1.094.05,39.78%,
Bukit Darmo,375.70B,-11.93,23.23B,104275,-4.19,0.15,-,-%,
Bukit Uluwatu Villa,969.24B,-2.64,323.89B,4054521,-18.91,-0.206,-,-%,
Bumi Benowo,561.6B,-,248.89M,12262597,-0.433,-,-,-%,
Bumi Citra Permai,91.51B,5.83,89.02B,2830260,10.98,-,-,-%,
Bumi Resources,48.27T,4.14,1.75B,732859060,0.002,-,-,-%,
Bumi Resources Min,26.37T,130.00,21.94M,528459786,0.00,0.812,-,-%,
Bumi Serpong Damai,22.27T,7.03,11.40T,16800521,151.60,0.89,-,-%,
Bumi Teknokultura,2.31T,-25.51,132.99B,718,-1.96,-,-,-%,
Bundamedik Tbk PT,3.44T,95.57,1.57T,1182894,3.96,-0.299,1.5,0.38%,
Buyung Poetra Sembada,1.30T,-134.81,1.19T,84229657,-0.994,0.212,1,0.76%,
Cahaya Bintang,93.75B,75.76,19.42B,12033,-3.13,-,-,-%,
Cahayaputra Asa Keramik,220.20B,464.47,211.36B,1831584,0.394,-0.093,-,-%,
Cakra Buana Resources Energi PT Tbk,226.9B,12.85,44.62B,1796739,4.58,-,-,-%,
Campina Ice Cream,1.99T,17.07,1.15T,800711,19.80,0.777,20,5.88%,
Capital Financial Ind,32.69T,820.79,9.86T,19608041,0.731,-0.248,-,-%,
Capitalinc Inv,1.59T,-1.04K,310.73B,100,-0.048,0.00,-,-%,
Capitol Nusantara,71.68B,-1.37,3.60M,90879,-0.004,0.193,-,-%,
Capri Nusa Satu Properti,121.67B,-33.32,2.89B,100,-1.50,0.254,-,-%,
Cardig Aero,1.40T,8.87,1.97T,1050337,75.53,0.31,-,-%,
Carsurin Tbk PT,289.2B,11.01,405.16B,21414697,30.84,-,-,-%,
Cashlez World,115.92B,-14.71,187.65B,1347760,-4.76,-0.734,-,-%,
Catur Sentosa,2.84T,10.23,15.82T,147498,48.86,0.148,-,-%,
Caturkarda Depo Bangunan PT Tbk,2.87T,28.38,2.63T,29708,15.29,-,4.5,1.07%,
Cemindo Gemilang Tbk PT,17.38T,192.09,9.54T,42389602,5.57,0.39,-,-%,
Central Omega Resources,613.03B,15.18,709.25B,8150700,7.38,-,-,-%,
Central Proteina,3.57T,8.72,8.62T,175734229,6.88,-0.138,-,-%,
Centratama Telekom,2.49T,-1.75,2.40T,3147337,-45.80,0.952,-,-%,
Century Textile Industry Tbk PT Prf,24.40B,-0.75,45.23M,220,-0.013,0.00,-,-%,
Cerestar Indonesia Tbk PT,1.62T,37.97,4.43T,1764190,6.18,-1.10,1.25,0.61%,
Champ Resto Indonesia PT,2.78T,44.70,1.34T,81725,22.84,-0.302,12,0.93%,
Champion Pacific,437.49B,7.80,1.00T,176184,57.67,0.472,5,1.15%,
Chandra Asri Petro,233.58T,-172.06,2.12B,12570943,-0.001,0.687,"51,357",0.19%,
Charlie Hospital Semarang PT,315.35B,-,33.03B,50590091,-7.35,-,-,-%,
Charnic Capital,160.18B,-1.36,-115.40B,59487,-180.62,-0.349,-,-%,
Charoen Pokphand Indonesia,90.60T,47.93,59.12T,6882295,115.27,0.262,108,2.16%,
Chemstar Indonesia Tbk PT,193.8B,55.07,117.47B,2570657,1.79,-0.096,1.21,1.06%,
Chitose Internasional,181.00B,-27.51,502.93B,23203,-6.58,0.054,1,0.55%,
Cikarang Listrindo,11.76T,7.91,550.85M,4696846,0.006,0.404,"106,687",14.42%,
Cilacap Samudera Fishing Industry,250B,24.01,450.83B,27266005,1.40,0.852,-,-%,
Cilacap Samudera Fishing Industry,250B,129.01,450.83B,0,1.40,0.852,-,-%,
Cipta Selera,2.57T,-,22.07B,300,-11.50,-0.047,-,-%,
Ciptadana REIT,-,-,-,143852,-,-,"20,093",-%,
Ciputra Dev,19.28T,11.77,8.93T,23470398,88.34,1.24,15,1.48%,
Cisadane Sawit Raya,1.04T,8.26,826.29B,129889,60.23,0.181,35,6.93%,
Cisarua Mountain Dairy Tbk PT,29.36T,27.81,7.02T,1906867,138.81,-0.119,70,1.89%,
Cita Mineral,9.11T,17.56,4.93T,11382,130.98,-,10,0.43%,
Citatah,61.54B,-1.92,90.97B,5466,-26.06,0.149,-,-%,
Citra Borneo Utama PT Tbk,8.72T,36.04,9.40T,47616,97.12,-,-,-%,
Citra Marga,8.48T,9.00,5.89T,22970,173.36,0.173,-,-%,
Citra Putra,514.00B,-32.79,187.08B,5286,-6.10,-0.021,-,-%,
Citra Tubindo,1.14T,-90.81,155.51M,2753,-0.001,0.066,-,-%,
City Retail Developments Tbk PT,3.11T,-23.97,1.05T,2155098,-5.84,-0.145,-,-%,
Clipan Finance,2.13T,2.24,1.02T,27993216,238.49,0.407,100,19.05%,
Colorpak Indonesia,295.62B,6.06,771.61B,206954,159.34,0.611,61.38,6.36%,
Communication Cable Systems,648B,25.36,494.10B,96176,23.07,0.355,7.5,1.12%,
Cottonindo Ariesta,47.62B,-,-,392700,-43.20,-0.195,-,-%,
Cowell Development,243.56B,-,-,519672,-197.04,0.073,-,-%,
Damai Sejahtera Abadi Tbk PT,448.35B,31.81,841.28B,20232856,5.69,-0.224,-,-%,
Dana Brata Luhur,1.03T,3.89,684.65B,625452,220.03,-0.432,146,18.02%,
Danasupra,983.58B,-82.58,-7.73B,46000,-17.62,-0.167,-,-%,
Darma Henwa,1.66T,-8.47,6.46T,287456761,-9.02,0.122,-,-%,
Darmi Bersaudara,273.98B,133.97,15.56B,57805364,1.95,-0.114,-,-%,
Darya-Varia,2.21T,28.90,1.82T,40640,68.17,-0.033,119,5.99%,
Data Sinergitama Jaya Tbk PT,211.27B,16.99,252.77B,13889779,12.10,-,3.5,3.37%,
Dayamitra Telekomunikasi PT,54.96T,30.69,8.13T,44121068,23.16,-0.254,"151,178",2.27%,
DCI Indonesia,82.72T,175.00,1.22T,726,195.94,0.809,-,-%,
Delta Djakarta,2.91T,13.28,755.73B,181498,273.35,0.441,325,8.98%,
Delta Dunia Makmur,4.23T,9.00,1.69B,35159847,0.004,-,14.17,2.55%,
Destinasi Tirta,261.69B,11.82,291.98B,407516,30.97,0.186,-,-%,
Dewata Freight,57.31B,-4.67,71.57B,841,-10.70,0.092,-,-%,
Dharma Polimetal Tbk PT,6.71T,11.32,5.06T,6863371,126.74,-0.271,20.94,1.47%,
Dharma Samudera,150.43B,9.71,520.33B,1724670,8.34,-0.071,-,-%,
Dharma Satya,6.52T,5.90,10.20T,44959883,104.32,0.485,30,4.84%,
Diagnos Laboratorium Utama PT Tbk,347.5B,300.00,167.24B,1173765,-4.40,0.761,-,-%,
Diamond Citra,358.85B,-88.04,17.38B,9212,-0.568,-3.52,-,-%,
Diamond Food,7.81T,19.75,8.93T,17748,38.29,-0.129,-,-%,
Dian Swastatika,39.53T,3.81,6.55B,43906,0.859,-0.371,-,-%,
Digital Mediatama Maxima,3.4T,277.27,2.07T,21274627,0.887,1.92,-,-%,
Djasa Ubersakti Tbk,75B,-0.724,114.29B,365553,-69.05,1.57,-,-%,
DMS Propertindo,527.31B,-37.65,24.54B,28766,-1.33,0.72,-,-%,
Dosni Roha Indonesia Tbk PT,1.16T,-8.15,2.28T,260444,-56.67,0.406,-,-%,
Dua Putra Utama Makmur PT,112.44B,-3.27,814.65B,849426,-8.26,-0.031,-,-%,
Duta Anggada,424.09B,-1.05,365.91B,38557,-128.39,-0.236,-,-%,
Duta Intidaya,629.34B,-12.94,1.31T,46898,-20.10,-0.304,-,-%,
Duta Pertiwi,8.66T,8.63,3.67T,1646,542.12,0.362,380,8.02%,
Duta Pertiwi Nusantara,165.56B,7.93,164.60B,125681,63.07,0.217,15,3.15%,
Dwi Guna Laksana,1.14T,72.35,2.64T,835135,1.70,-0.186,-,-%,
Dyandra Media,482.84B,5.59,1.40T,5639314,20.23,0.205,-,-%,
Eagle High,1.87T,6.75,4.40T,12728632,8.89,-,-,-%,
Eastparc Hotel,664.35B,16.85,96.93B,3424387,8.14,-,"7,747",4.81%,
Eka Sari Lorena,64.40B,-5.76,95.96B,56429,-31.95,0.549,-,-%,
Ekadharma,887.44B,13.55,561.21B,390630,18.74,0.323,9,3.57%,
Elang Mahkota,38.43T,16.74,16.18T,31574092,37.64,-,10,1.56%,
Electronic City Ind,429.82B,50.83,2.38T,167878,7.24,0.302,5,1.34%,
Elnusa,2.96T,7.37,12.75T,47188730,55.06,0.881,25.9,6.41%,
Emdeki Utama,503.50B,10.13,485.33B,1023983,19.64,0.203,10,5.05%,
Energi Mega Persada,6.30T,5.40,413.22M,66356289,0.003,0.695,-,-%,
Enseval Putra,7.23T,9.52,28.38T,34698,280.57,-0.235,205,7.68%,
Envy Technologies,90B,-,-,0,-139.41,0.856,-,-%,
Equity Dev Inv,910.75B,-250.98,1.54T,1057775,-0.255,-0.27,-,-%,
Era Graharealty PT Tbk,113.98B,27.49,27.15B,19022,4.48,0.455,-,-%,
Era Mandiri Cemerlang Tbk PT,42.5B,18.97,130.21B,4026281,2.90,-0.04,-,-%,
Era Media Sejahtera Tbk PT,1.62T,43.86,107.75B,250967123,1.14,-,-,-%,
Erajaya Swasembada,7.01T,7.28,54.97T,59007626,61.01,1.69,19,4.3%,
Eratex Djaja,481.17B,7.94,118.40M,7383371,0.003,-,11.66,3.19%,
Esta Multi Usaha,206.16B,34.77,46.70B,12619259,2.47,-0.642,-,-%,
Estee Gold Feet PT Tbk,519.96B,114.31,27.39B,6977589,1.74,0.882,-,-%,
Estika Tata Tiara,942.20B,-598.21,325.87B,7369867,-0.224,0.433,-,-%,
Eterindo Wahanatama,536.90B,-2.65,16.18B,32066,-43.43,-0.85,-,-%,
Eureka Prima Jakarta,641.82B,1.900.00,-,12959884,0.06,-,-,-%,
Ever Shine Textile,100.76B,530.67,24.41M,196615,0.00,0.178,1,1.96%,
Exploitasi Energi,447.82B,107.07,1.45T,8795,0.467,0.00,-,-%,
Express Transindo,511.18B,-45.87,4.39B,31100,-1.09,0.191,-,-%,
Fajar Surya Wisesa,14.43T,-36.23,8.66T,3419,-160.79,0.141,23,0.39%,
Falmaco Nonwoven Industri PT Tbk,61.72B,-0.996,-,57100,-79.32,-0.617,-,-%,
Famon Awal Bros Sedaya Tbk PT,9.91T,68.31,1.66T,198530,8.65,-,-,-%,
FAP Agri Tbk PT,18.87T,51.77,4.75T,8365,100.45,0.087,-,-%,
Fast Food Indonesia,3.17T,-27.40,6.11T,9175,-29.01,0.298,-,-%,
Fimperkasa Utama Tbk PT,22.4B,12.81,10.90B,24341,4.84,-,-,-%,
First Media,174.22B,-2.68,122.09B,347821,-37.31,-0.189,-,-%,
FKS Food Sejahtera Tbk PT,1.08T,-30.93,1.81T,8426059,-4.56,0.133,-,-%,
Fks Multi Agro,2.62T,7.72,1.42B,327,0.045,0.768,470,8.62%,
Formosa Ingredient Factory PT Tbk,162.96B,25.18,136.32B,202727,5.99,0.302,2,1.42%,
Fortune Indonesia,77.23B,-62.88,49.77B,294214,-2.64,0.49,-,-%,
Fortune Mate,1.79T,61.96,65.16B,280756,9.28,0.162,-,-%,
Forza Land Indonesia,99.20B,6.19,-,2300,8.08,-0.363,-,-%,
Fuji Finance Indonesia,322.4B,-514.31,10.77B,53802,-0.455,-0.459,-,-%,
Gajah Tunggal,2.58T,10.67,17.00T,23768437,69.33,1.24,-,-%,
Galva Technologies,1.35T,16.11,2.19T,58852,55.26,0.927,16,1.78%,
Garda Tujuh Buana,1.33T,5.63,65.72M,6548171,0.006,0.462,"61,334",1.15%,
Garuda Indonesia,8.32T,-1.45,2.62B,161680419,-0.004,0.675,-,-%,
Garuda Maintenance Facility,2.29T,5.16,309.81M,12397646,0.001,0.636,-,-%,
Garuda Metalindo Tbk,2.04T,14.69,1.52T,16244,59.22,0.186,25,2.87%,
Garudafood Putra Putri,15.12T,32.70,10.56T,2958183,12.54,0.215,6,1.46%,
Gaya Abadi,182B,7.27,467.86B,58725375,18.62,-1.18,-,-%,
Gema Grahasarana,425.60B,14.06,1.16T,111151,18.92,0.029,-,-%,
Geoprima Solusi Tbk PT,91.34B,-53.93,16.17B,11037010,-2.30,-0.551,-,-%,
Gihon Telekom,1.01T,10.79,193.63B,5860,169.58,-0.033,128,6.99%,
Ginting Jaya Energi,123.79B,-11.78,109.71B,29185,-4.24,1.38,-,-%,
Global Digital Niaga Tbk PT,53.56T,-10.68,16.33T,4349097,-42.32,-,-,-%,
Global Mediacom,4.64T,4.13,11.21T,53703219,68.76,1.22,-,-%,
Global Sukses Solusi Tbk PT,58.74B,-14.56,30.22B,421778,-4.40,-0.129,0.3064,0.51%,
